거래ID,거래일자,사원번호,사원명,지역,팀,상품명,금액,상태
TXN-2025013-1779,2025-01-13,EMP1020,이서연,부산,부산1팀,AI 비서 구독,12546,구매확정
TXN-2025214-2950,2025-08-02,EMP1026,조준혁,부산,부산2팀,IoT 패키지,14741,검토완료
TXN-2026030-4286,2026-01-30,EMP1017,최동현,경기,경기2팀,IoT 패키지,31569,구매확정
TXN-2025039-7970,2025-02-08,EMP1004,신지은,서울,서울2팀,AI 비서 구독,11475,환불
TXN-2025031-2308,2025-01-31,EMP1021,임성호,부산,부산1팀,클라우드 Server,381215,구매확정
TXN-2025350-6069,2025-12-16,EMP1002,윤서연,서울,서울1팀,인터넷 결합,48202,구매확정
TXN-2025046-5740,2025-02-15,EMP1006,조서연,서울,서울2팀,5G Plan,74600,반려
TXN-2025110-8145,2025-04-20,EMP1031,이서연,대전,대전1팀,IoT 패키지,34940,구매확정
TXN-2025041-1614,2025-02-10,EMP1032,이태영,대전,대전1팀,IPTV 프리미엄,18643,구매확정
TXN-2025329-3486,2025-11-25,EMP1008,윤상현,서울,서울3팀,IPTV 프리미엄,16569,구매확정
TXN-2025306-8099,2025-11-02,EMP1012,조태영,경기,경기1팀,클라우드 Server,731147,구매확정
TXN-2026014-6109,2026-01-14,EMP1005,김성호,서울,서울2팀,5g 요금제,73546,취소
TXN-2025361-5520,2025-12-27,EMP1034,박현우,대전,대전1팀,IoT 패키지,33520,검토완료
TXN-2025030-1501,2025-01-30,EMP1024,오미래,부산,부산2팀,5G 요금제,77330,구매확정
TXN-2026034-9271,2026-02-03,EMP1019,오현우,경기,경기2팀,인터넷 결합,39036,접수
TXN-2025335-6924,2025-12-01,EMP1026,조준혁,부산,부산2팀,아이피티비 프리미엄,15261,검토완료
TXN-2025141-2822,2025-05-21,EMP1015,오준혁,경기,경기2팀,5G 요금제,79777,환불
TXN-2025359-9387,2025-12-25,EMP1029,서준혁,대전,대전1팀,5G 요금제,55224,환불
TXN-2025140-2643,2025-05-20,EMP1032,이태영,대전,대전1팀,인터넷 결합,33252,구매확정
TXN-2026041-3643,2026-02-10,EMP1009,장민수,서울,서울3팀,인터넷결합,38930,구매확정
TXN-2025080-9618,2025-03-21,EMP1013,최성호,경기,경기1팀,IPTV 프리미엄,"""24,737""",구매확정
TXN-2025310-2897,2025-11-06,EMP1015,오준혁,경기,경기2팀,IPTV 프리미엄,18335,환불
TXN-2026032-6151,2026-02-01,EMP1013,최성호,경기,경기1팀,클라우드 서버,1763240,구매확정
TXN-2025004-8154,2025-01-04,EMP1019,오현우,경기,경기2팀,5G 요금제,78552,개통완료
TXN-2025015-3091,2025-01-15,EMP1035,조지민,광주,광주1팀,5G 요금제,56555,구매확정
TXN-2025125-5936,2025-05-05,EMP1005,김성호,서울,서울2팀,IoT 패키지,18273,개통완료
TXN-2025241-7717,2025-08-29,EMP1030,윤태영,대전,대전1팀,IPTV 프리미엄,19223,구매확정
TXN-2025115-1369,2025-04-25,EMP1025,오나연,부산,부산2팀,인터넷 결합,49309,개통완료
TXN-2025238-2890,2025-08-26,EMP1010,신태영,경기,경기1팀,5G 요금제,84139,환불
TXN-2025008-6225,2025-01-08,EMP1022,윤수진,부산,부산1팀,IoT 패키지,32575,취소
TXN-2025279-5558,2025-10-06,EMP1012,조태영,경기,경기1팀,IoT 패키지,10043,검토완료
TXN-2025184-3510,2025-07-03,EMP1034,박현우,대전,대전1팀,IoT 패키지,"""38,124""",구매확정
TXN-2025120-8411,2025-04-30,EMP1018,박하은,경기,경기2팀,IPTV 프리미엄,16416,구매확정
TXN-2025340-2132,2025-12-06,EMP1020,이서연,부산,부산1팀,IoT 패키지,13839,구매확정
TXN-2025205-3633,2025-07-24,EMP1026,조준혁,부산,부산2팀,IPTV 프리미엄,30067,개통완료
TXN-2025005-9708,2025-01-05,EMP1019,오현우,경기,경기2팀,,14004,구매확정
TXN-2025017-5487,2025-01-17,EMP1006,조서연,서울,서울2팀,클라우드 서버,845533,구매확정
TXN-2025168-9758,2025-06-17,EMP1022,윤수진,부산,부산1팀,IPTV 프리미엄,15943,취소
TXN-2025085-7044,2025-03-26,EMP1029,서준혁,대전,대전1팀,5G 요금제,68952,구매확정
TXN-2025093-4641,2025-04-03,EMP1006,조서연,서울,서울2팀,IPTV 프리미엄,19564,구매확정
TXN-2025223-7427,2025-08-11,EMP1012,조태영,경기,경기1팀,AI 비서 구독,11385,구매확정
TXN-2025068-1433,2025-03-09,EMP1020,이서연,부산,부산1팀,5G 요금제,66588,구매확정
TXN-2025310-4439,2025-11-06,EMP1031,이서연,대전,대전1팀,5G 요금제,63270,접수
TXN-2025081-9193,2025-03-22,EMP1003,정수진,서울,서울1팀,IPTV 프리미엄,"""26,740""",구매확정
TXN-2025296-4921,2025-10-23,,,경기,경기2팀,인터넷 결합,40395,개통완료
TXN-2025331-1355,2025-11-27,EMP1012,조태영,경기,경기1팀,AI 비서 구독,15496,구매확정
TXN-2025347-5600,2025-12-13,EMP1032,이태영,대전,대전1팀,,79147,개통완료
TXN-2025231-3336,2025-08-19,EMP1015,오준혁,경기,경기2팀,5G 요금제,77552,환불
TXN-2025334-8679,2025-11-30,EMP1030,윤태영,대전,대전1팀,IoT 패키지,28668,구매확정
TXN-2026036-2937,2026-02-05,EMP1019,오현우,경기,경기2팀,IPTV프리미엄,17630,환불
TXN-2025030-6645,2025-01-30,EMP1012,조태영,경기,경기1팀,AI 비서 구독,16749,구매확정
TXN-2025332-6261,2025-11-28,EMP1031,이서연,대전,대전1팀,IoT패키지,13923,구매확정
TXN-2025349-8238,2025-12-15,EMP1002,윤서연,서울,서울1팀,클라우드 서버,1202068,구매확정
TXN-2025064-9833,2025-03-05,EMP1023,장상현,부산,부산2팀,iot 패키지,34808,개통완료
TXN-2025255-2372,2025-09-12,EMP1006,조서연,서울,서울2팀,IPTV 프리미엄,25209,구매확정
TXN-2026031-5024,2026-01-31,EMP1037,정준혁,광주,광주1팀,IoT 패키지,19732,접수
TXN-2025307-9228,2025-11-03,EMP1025,오나연,부산,부산2팀,클라우드 서버,465939,접수
TXN-2025284-4304,2025-10-11,EMP1032,이태영,대전,대전1팀,클라우드 서버,350110,구매확정
TXN-2025051-5502,2025-02-20,EMP1002,윤서연,서울,서울1팀,클라우드 서버,543235,구매확정
TXN-2025113-7042,2025-04-23,EMP1005,김성호,서울,서울2팀,인터넷 결합,42163,구매확정
TXN-2026063-6987,2026-03-04,EMP1026,조준혁,부산,부산2팀,IPTV 프리미엄,27645,환불
TXN-2025219-3617,2025-08-07,EMP1011,장영철,경기,경기1팀,IPTV 프리미엄,24436,취소
TXN-2025003-7771,2025-01-03,EMP1038,정서연,광주,광주1팀,인터넷 결합,46723,개통완료
TXN-2025028-7909,2025-01-28,EMP1009,장민수,서울,서울3팀,클라우드 서버,1690995,개통완료
TXN-2025226-4530,2025-08-14,EMP1017,최동현,경기,경기2팀,AI 비서 구독,12168,개통완료
TXN-2025003-4048,2025-01-03,EMP1010,신태영,경기,경기1팀,인터넷 결합,49168,환불
TXN-2025358-1102,2025-12-24,EMP1019,오현우,경기,경기2팀,IPTV 프리미엄,30192,구매확정
TXN-2026024-2393,2025-01-27,EMP1002,윤서연,서울,서울1팀,인터넷 결합,53020,구매확정
TXN-2025074-4981,2025-03-15,EMP1013,최성호,경기,경기1팀,클라우드 서버,527281,환불
TXN-2025203-8999,2025-07-22,EMP1026,조준혁,부산,부산2팀,AI 비서 구독,16378,검토완료
TXN-2026049-9523,2026-02-18,EMP1028,윤미래,부산,부산2팀,인터넷결합,37532,취소
TXN-2026004-9486,2026-01-04,EMP1019,오현우,경기,경기2팀,IoT 패키지,18290,구매확정
TXN-2026021-4481,2026-01-21,EMP1028,윤미래,부산,부산2팀,클라우드 서버,"""999,068""",취소
TXN-2025208-9171,2025-07-27,EMP1006,조서연,서울,서울2팀,AI 비서 구독,10042,검토완료
TXN-2025307-3180,2025-11-03,EMP1002,윤서연,서울,서울1팀,IoT 패키지,37479,접수
TXN-2025319-7055,2025-11-15,,,서울,서울2팀,IoT 패키지,"""34,523""",검토완료
TXN-2025056-6436,2025-02-25,EMP1019,오현우,경기,경기2팀,클라우드서버,1850633,접수
TXN-2025025-4551,2025-01-25,EMP1034,박현우,대전,대전1팀,AI 비서 구독,10485,검토완료
TXN-2025179-7646,2025-06-28,EMP1025,오나연,부산,부산2팀,IoT 패키지,23996,구매확정
TXN-2025112-8820,2025-04-22,EMP1020,이서연,부산,부산1팀,클라우드 서버,"""1,260,500""",구매확정
TXN-2025163-7249,2025-06-12,EMP1019,오현우,경기,경기2팀,클라우드서버,1351157,구매확정
TXN-2026040-2682,2026-02-09,EMP1026,조준혁,부산,부산2팀,IoT 패키지,46618,구매확정
TXN-2025265-7377,2025-09-22,EMP1028,윤미래,부산,부산2팀,IoT 패키지,17393,개통완료
TXN-2026012-9541,2026-01-12,EMP1013,최성호,경기,경기1팀,에이아이 비서,10975,구매확정
TXN-2025275-4397,2025-10-02,EMP1024,오미래,부산,부산2팀,인터넷 결합,54090,개통완료
TXN-2025190-5045,2025-07-09,EMP1024,오미래,부산,부산2팀,인터넷 결합,51956,접수
TXN-2025338-3326,2025-12-04,EMP1007,조유진,서울,서울3팀,클라우드 서버,1668843,개통완료
TXN-2025218-8008,2025-08-06,EMP1036,서상현,광주,광주1팀,클라우드 서버,"""636,244""",반려
TXN-2025105-3581,2025-04-15,EMP1030,윤태영,대전,대전1팀,인터넷 결합,45591,개통완료
TXN-2025190-2003,2025-07-09,EMP1011,장영철,경기,경기1팀,,24824,환불
TXN-2025279-8653,2025-10-06,EMP1013,최성호,경기,경기1팀,,85926,접수
TXN-2025234-4666,2025-08-22,EMP1036,서상현,광주,광주1팀,AI 비서 구독,17826,개통완료
TXN-2026025-9212,2026-01-25,EMP1019,오현우,경기,경기2팀,인터넷 결합,48752,환불
TXN-2025227-2358,2025-08-15,EMP1010,신태영,경기,경기1팀,5G 요금 제,73262,구매확정
TXN-2025027-6714,2025-01-27,EMP1031,이서연,대전,대전1팀,AI 비서 구독,17594,검토완료
TXN-2025062-8778,2025-03-03,EMP1007,조유진,서울,서울3팀,클라우드 서버,1479082,접수
TXN-2025311-7187,2025-11-07,EMP1034,박현우,대전,대전1팀,Internet 결합,"""33,526""",접수
TXN-2025071-7223,2025-03-12,EMP1024,오미래,부산,부산2팀,인터넷 결합,53451,검토완료
TXN-2025133-4995,2025-05-13,EMP1001,김준혁,서울,서울1팀,클라우드 Server,796668,구매확정
TXN-2025328-2872,2025-11-24,EMP1006,조서연,서울,서울2팀,IPTV프리미엄,16437,접수
TXN-2025017-3204,2025-01-17,EMP1026,조준혁,부산,부산2팀,IPTV 프리미엄,21846,취소
TXN-2026073-4330,2026-03-14,EMP1015,오준혁,경기,경기2팀,IPTV 프리미엄,31396,구매확정
TXN-2025293-7601,2025-10-20,EMP1031,이서연,대전,대전1팀,IOT 패키지,35192,반려
TXN-2026072-5647,2026-03-13,EMP1016,이상현,경기,경기2팀,인터넷결합,36002,환불
TXN-2025187-3396,2025-07-06,EMP1034,박현우,대전,대전1팀,인터넷 결합,50652,취소
TXN-2025343-3105,2025-12-09,EMP1019,오현우,경기,경기2팀,5G요금제,"""64,256""",구매확정
TXN-2026040-1286,2026-02-09,EMP1021,임성호,부산,부산1팀,5G 요금제,77145,취소
TXN-2025104-1934,2025-04-14,EMP1013,최성호,경기,경기1팀,인터넷 결합,46789,반려
TXN-2025103-1210,2025-04-13,EMP1006,조서연,서울,서울2팀,5G요금제,58435,개통완료
TXN-2026008-1058,2026-01-08,EMP1020,이서연,부산,부산1팀,IoT 패키지,21369,환불
TXN-2025172-9908,2025-06-21,EMP1039,장유진,광주,광주1팀,인터넷 결합,34657,구매확정
TXN-2025214-7958,2025-08-02,EMP1006,조서연,서울,서울2팀,인터넷 결합,45907,환불
TXN-2025071-8030,2025-03-12,EMP1034,박현우,대전,대전1팀,5G 요금제,74863,반려
TXN-2026082-6693,2026-03-23,EMP1015,오준혁,경기,경기2팀,5G 요금제,"""60,785""",구매확정
TXN-2025126-1137,2025-05-06,EMP1028,윤미래,부산,부산2팀,클라우드 서버,1468064,개통완료
TXN-2025064-6053,2025-03-05,EMP1009,장민수,서울,서울3팀,AI 비서 구독,13713,구매확정
TXN-2025054-7644,2025-02-23,EMP1032,이태영,대전,대전1팀,클라우드 서버,406136,개통완료
TXN-2026050-4551,2026-02-19,EMP1027,박미래,부산,부산2팀,인터넷 결합,50234,검토완료
TXN-2026033-3645,2026-02-02,EMP1030,윤태영,대전,대전1팀,Cloud 서버,,구매확정
TXN-2025359-4190,2025-12-25,EMP1029,서준혁,대전,대전1팀,AI 비서 구독,16374,구매확정
TXN-2026001-9810,2026-01-01,EMP1039,장유진,광주,광주1팀,5G 요금제,70849,개통완료
TXN-2025246-8616,2025-09-03,EMP1010,신태영,경기,경기1팀,클라우드 서버,1465131,구매확정
TXN-2025190-9719,2025-07-09,EMP1002,윤서연,서울,서울1팀,IPTV프리미엄,24532,구매확정
TXN-2025283-4087,2025-10-10,EMP1037,정준혁,광주,광주1팀,5G 요금제,64114,환불
TXN-2025274-9730,2025-10-01,EMP1029,서준혁,대전,대전1팀,5G 요금제,75209,구매확정
TXN-2026003-4008,2026-01-03,EMP1017,최동현,경기,경기2팀,IPTV 프리미엄,20929,구매확정
TXN-2025026-4816,2025-01-26,EMP1002,윤서연,서울,서울1팀,인터넷 결합,33590,접수
TXN-2025260-7413,2025-09-17,EMP1003,정수진,서울,서울1팀,클라우드 서버,1398775,구매확정
TXN-2025093-3655,2025-04-03,EMP1015,오준혁,경기,경기2팀,인터넷 결합,39908,검토완료
TXN-2026036-9167,2026-02-05,EMP1013,최성호,경기,경기1팀,5G 요금제,72149,반려
TXN-2026048-8392,2026-02-17,EMP1024,오미래,부산,부산2팀,인터넷 결합,53809,구매확정
TXN-2025048-5539,2025-02-17,EMP1020,이서연,부산,부산1팀,클라우드 서버,1453177,구매확정
TXN-2025195-9892,2025-07-14,EMP1032,이태영,대전,대전1팀,인터넷 결합,42959,구매확정
TXN-2025336-8030,2025-12-02,EMP1036,서상현,광주,광주1팀,IoT 패키지,37448,반려
TXN-2025102-5860,2025-04-12,EMP1036,서상현,광주,광주1팀,AI 비서 구독,15686,환불
TXN-2025111-8113,2025-04-21,EMP1026,조준혁,부산,부산2팀,IPTV 프리미엄,22875,반려
TXN-2025003-9321,2025-01-03,EMP1039,장유진,광주,광주1팀,IPTV 프리미엄,28386,검토완료
TXN-2025125-8055,2025-05-05,EMP1039,장유진,광주,광주1팀,AI 비서 구독,"""18,674""",구매확정
TXN-2025185-1522,2025-07-04,EMP1039,장유진,광주,광주1팀,,46136,접수
TXN-2025235-4228,2025-08-23,EMP1018,박하은,경기,경기2팀,인터넷 결합,52775,개통완료
TXN-2025251-3324,2025-09-08,EMP1038,정서연,광주,광주1팀,,26316,환불
TXN-2025288-1468,2025-10-15,EMP1005,김성호,서울,서울2팀,클라우드 Server,,구매확정
TXN-2025176-1379,2025-06-25,EMP1012,조태영,경기,경기1팀,iot 패키지,32506,구매확정
TXN-2025352-4809,2025-12-18,EMP1015,오준혁,경기,경기2팀,클라우드 서버,1945744,구매확정
TXN-2025073-4915,2025-03-14,EMP1023,장상현,부산,부산2팀,iot 패키지,36286,반려
TXN-2025346-7230,2025-12-12,EMP1012,조태영,경기,경기1팀,AI 비서 구독,10737,개통완료
TXN-2025179-5793,2025-06-28,EMP1022,윤수진,부산,부산1팀,5G 요금제,83271,취소
TXN-2025166-2536,2025-06-15,EMP1006,조서연,서울,서울2팀,클라우드 서버,838449,구매확정
TXN-2025017-7846,2025-01-17,EMP1009,장민수,서울,서울3팀,Cloud 서버,1071855,구매확정
TXN-2026069-2423,2026-03-10,EMP1021,임성호,부산,부산1팀,클라우드 서버,1087469,접수
TXN-2025052-3847,2025-02-21,EMP1028,윤미래,부산,부산2팀,5G 요금제,62767,취소
TXN-2025031-7945,2025-01-31,EMP1037,정준혁,광주,광주1팀,Internet 결합,"""40,880""",취소
TXN-2025224-9094,2025-08-12,EMP1004,신지은,서울,서울2팀,IPTV 프리미엄,25811,취소
TXN-2025347-7861,2025-12-13,EMP1029,서준혁,대전,대전1팀,인터넷 결합,36275,환불
TXN-2025272-9693,2025-09-29,EMP1003,정수진,서울,서울1팀,IPTV 프리미엄,17963,검토완료
TXN-2025206-5878,2025-07-25,EMP1024,오미래,부산,부산2팀,5G 요금제,64486,취소
TXN-2025186-7079,2025-07-05,EMP1029,서준혁,대전,대전1팀,클라우드 서버,1471667,구매확정
TXN-2025322-5239,2025-11-18,EMP1013,최성호,경기,경기1팀,5G 요금제,68311,구매확정
TXN-2025044-1624,2025-02-13,EMP1011,장영철,경기,경기1팀,AI 비서 구독,17826,검토완료
TXN-2025300-2879,2025-10-27,EMP1030,윤태영,대전,대전1팀,IOT 패키지,14209,구매확정
TXN-2025351-2366,2025-12-17,EMP1004,신지은,서울,서울2팀,AI 비서 구독,13645,구매확정
TXN-2025039-6279,2025-02-08,EMP1029,서준혁,대전,대전1팀,인터넷 결합,47258,구매확정
TXN-2025232-8984,2025-08-20,EMP1001,김준혁,서울,서울1팀,클라우드 서버,926153,접수
TXN-2025029-5166,2025-01-29,EMP1018,박하은,경기,경기2팀,iptv 프리미엄,15192,검토완료
TXN-2025285-1560,2025-10-12,EMP1014,최나연,경기,경기2팀,AI 비서 구독,15572,구매확정
TXN-2025025-4895,2025-01-25,EMP1004,신지은,서울,서울2팀,iptv 프리미엄,23950,검토완료
TXN-2025365-3395,2025-12-31,EMP1016,이상현,경기,경기2팀,클라우드 서버,"""401,868""",반려
TXN-2025037-6583,2025-02-06,EMP1021,임성호,부산,부산1팀,5G 요금제,73403,구매확정
TXN-2025275-9960,2025-10-02,EMP1011,장영철,경기,경기1팀,IPTV 프리미엄,"""20,695""",개통완료
TXN-2025345-7336,2025-12-11,EMP1034,박현우,대전,대전1팀,5G 요금제,81940,취소
TXN-2025045-8846,2025-02-14,EMP1016,이상현,경기,경기2팀,AI 비서 구독,10106,개통완료
TXN-2025095-1756,2025-04-05,EMP1003,정수진,서울,서울1팀,5G 요금제,60294,접수
TXN-2025234-2870,2025-08-22,EMP1028,윤미래,부산,부산2팀,인터넷 결합,44966,구매확정
TXN-2025054-3954,2025-02-23,EMP1014,최나연,경기,경기2팀,클라우드서버,369716,반려
TXN-2025330-5979,2025-11-26,EMP1024,오미래,부산,부산2팀,IPTV 프리미엄,28772,구매확정
TXN-2025308-4048,2025-11-04,EMP1030,윤태영,대전,대전1팀,클라우드 서버,695614,접수
TXN-2025257-7803,2025-09-14,EMP1010,신태영,경기,경기1팀,클라우드 서버,943179,구매확정
TXN-2025226-9911,2025-08-14,EMP1015,오준혁,경기,경기2팀,5G 요금제,87402,구매확정
TXN-2025147-1762,2025-05-27,EMP1011,장영철,경기,경기1팀,AI Assistant,16138,구매확정
TXN-2025218-4355,2025-08-06,EMP1014,최나연,경기,경기2팀,5G 요금제,62238,개통완료
TXN-2025344-2675,2025-12-10,EMP1024,오미래,부산,부산2팀,인터넷 결합,40430,구매확정
TXN-2025213-5291,2025-08-01,EMP1031,이서연,대전,대전1팀,5G 요금제,80447,개통완료
TXN-2025012-4546,2025-01-12,EMP1025,오나연,부산,부산2팀,IoT 패키지,"""25,160""",구매확정
TXN-2025117-7579,2025-04-27,EMP1015,오준혁,경기,경기2팀,AI 비서 구독,15544,구매확정
TXN-2025305-2861,2025-11-01,EMP1011,장영철,경기,경기1팀,클라우드 서버,1003842,구매확정
TXN-2026016-3378,2026-01-16,EMP1038,정서연,광주,광주1팀,5G Plan,66163,구매확정
TXN-2025275-2871,2025-10-02,EMP1029,서준혁,대전,대전1팀,AI 비서 구독,16461,취소
TXN-2026009-9530,2026-01-09,EMP1017,최동현,경기,경기2팀,IoT 패키지,28668,구매확정
TXN-2025070-2744,2025-03-11,EMP1032,이태영,대전,대전1팀,5G Plan,77003,구매확정
TXN-2025053-1154,2025-02-22,EMP1028,윤미래,부산,부산2팀,5G 요금제,75537,구매확정
TXN-2025306-8552,2025-11-02,EMP1024,오미래,부산,부산2팀,IPTV 프리미엄,20832,접수
TXN-2025112-8995,2025-04-22,EMP1036,서상현,광주,광주1팀,iot 패키지,44442,접수
TXN-2025188-1850,2025-09-29,EMP1004,신지은,서울,서울2팀,5G 요금제,55849,구매확정
TXN-2025088-2882,2025-03-29,EMP1025,오나연,부산,부산2팀,인터넷 결합,39372,구매확정
TXN-2025270-6397,2025-09-27,EMP1018,박하은,경기,경기2팀,IoT패키지,30347,취소
TXN-2026019-5847,2026-01-19,EMP1024,오미래,부산,부산2팀,IoT 패키지,42998,검토완료
TXN-2025307-9981,2025-11-03,EMP1008,윤상현,서울,서울3팀,인터넷 결합,42124,구매확정
TXN-2025176-2734,2025-06-25,EMP1029,서준혁,대전,대전1팀,iptv 프리미엄,25573,반려
TXN-2026061-5162,2026-03-02,EMP1032,이태영,대전,대전1팀,클라우드 서버,422914,환불
TXN-2025357-9880,2025-12-23,EMP1026,조준혁,부산,부산2팀,인터넷 결합,41556,구매확정
TXN-2025120-2537,2025-04-30,EMP1021,임성호,부산,부산1팀,클라우드 서버,310564,구매확정
TXN-2025339-6532,2025-12-05,EMP1003,정수진,서울,서울1팀,AI 비서 구독,14911,취소
TXN-2026009-1526,2026-01-09,EMP1036,서상현,광주,광주1팀,AI 비서 구독,12780,개통완료
TXN-2026025-2522,2026-01-25,EMP1027,박미래,부산,부산2팀,클라우드 서버,339549,구매확정
TXN-2025015-8835,2025-01-15,EMP1009,장민수,서울,서울3팀,5G 요금제,69834,환불
TXN-2025088-3797,2025-03-29,EMP1018,박하은,경기,경기2팀,5G 요금제,70042,구매확정
TXN-2025223-6122,2025-08-11,EMP1020,이서연,부산,부산1팀,5G요금제,75316,구매확정
TXN-2025080-1504,2025-03-21,EMP1011,장영철,경기,경기1팀,AI 비서 구독,"""15,926""",검토완료
TXN-2025047-2933,2025-02-16,EMP1033,서준혁,대전,대전1팀,클라우드 서버,905404,구매확정
TXN-2025254-6759,2025-09-11,EMP1013,최성호,경기,경기1팀,IoT 패키지,14256,개통완료
TXN-2026065-6321,2026-03-06,EMP1006,조서연,서울,서울2팀,AI 비서 구독,10814,취소
TXN-2026035-2156,2026-02-04,EMP1002,윤서연,서울,서울1팀,에이아이 비서,15135,구매확정
TXN-2025090-4962,2025-03-31,EMP1031,이서연,대전,대전1팀,클라우드 서버,1107610,환불
TXN-2025178-4829,2025-06-27,EMP1015,오준혁,경기,경기2팀,IoT 패키지,47269,취소
TXN-2025312-1266,2025-11-08,EMP1015,오준혁,경기,경기2팀,iptv 프리미엄,"""24,635""",구매확정
TXN-2025098-4302,2025-04-08,EMP1020,이서연,부산,부산1팀,AI 비서 구독,19804,구매확정
TXN-2026013-9631,2026-01-13,EMP1025,오나연,부산,부산2팀,클라우드 서버,733519,개통완료
TXN-2025146-5081,2025-05-26,EMP1036,서상현,광주,광주1팀,인터넷 결합,53323,개통완료
TXN-2026056-1355,2026-02-25,EMP1037,정준혁,광주,광주1팀,IPTV Premium,23912,환불
TXN-2025219-7913,2025-08-07,EMP1019,오현우,경기,경기2팀,IPTV 프리미엄,18149,개통완료
TXN-2025282-9569,2025-10-09,EMP1013,최성호,경기,경기1팀,5g 요금제,72954,개통완료
TXN-2026014-7585,2026-01-14,EMP1025,오나연,부산,부산2팀,IoT 패키지,38160,개통완료
TXN-2025055-8496,2025-02-24,EMP1002,윤서연,서울,서울1팀,클라우드 서버,378265,검토완료
TXN-2025217-9699,2025-04-21,EMP1017,최동현,경기,경기2팀,AI 비서 구독,17240,구매확정
TXN-2025001-6549,2025-01-01,EMP1005,김성호,서울,서울2팀,IoT 패키지,37680,검토완료
TXN-2026006-3960,2026-01-06,EMP1014,최나연,경기,경기2팀,IPTV 프리미엄,27056,검토완료
TXN-2025143-6311,2025-05-23,EMP1002,윤서연,서울,서울1팀,AI 비서 구독,16600,접수
TXN-2025024-3223,2025-01-24,EMP1017,최동현,경기,경기2팀,인터넷 결합,47242,취소
TXN-2025229-3037,2025-08-17,EMP1020,이서연,부산,부산1팀,5G 요금제,76655,반려
TXN-2025252-8009,2025-09-09,EMP1012,조태영,경기,경기1팀,클라우드 서버,830937,취소
TXN-2025332-5710,2025-11-28,EMP1037,정준혁,광주,광주1팀,인터넷 결합,46343,반려
TXN-2025114-1310,2025-04-24,EMP1006,조서연,서울,서울2팀,5G 요금제,64260,개통완료
TXN-2025083-6401,2025-11-29,EMP1001,김준혁,서울,서울1팀,IPTV 프리미엄,31505,구매확정
TXN-2025269-7161,2025-09-26,EMP1031,이서연,대전,대전1팀,5G 요금제,80381,구매확정
TXN-2025156-5608,2025-06-05,EMP1014,최나연,경기,경기2팀,AI 비서 구독,16502,개통완료
TXN-2025276-2178,2025-10-03,EMP1010,신태영,경기,경기1팀,인터넷 결합,47409,구매확정
TXN-2025113-3032,2025-04-23,EMP1029,서준혁,대전,대전1팀,IPTV 프리미엄,26708,반려
TXN-2025126-7429,2025-05-06,EMP1029,서준혁,대전,대전1팀,IoT 패키지,12696,반려
TXN-2025254-5341,2025-09-11,EMP1032,이태영,대전,대전1팀,IPTV 프리미엄,24399,환불
TXN-2025182-4117,2025-07-01,EMP1029,서준혁,대전,대전1팀,AI 비서 구독,14057,반려
TXN-2025239-7879,2025-08-27,EMP1036,서상현,광주,광주1팀,클라우드 서버,756035,구매확정
TXN-2025158-8293,2025-06-07,EMP1023,장상현,부산,부산2팀,인터넷 결합,35491,개통완료
TXN-2025302-1953,2025-10-29,EMP1003,정수진,서울,서울1팀,AI 비서 구독,19254,접수
TXN-2025260-3457,2025-09-17,EMP1016,이상현,경기,경기2팀,AI 비서 구독,14215,개통완료
TXN-2025188-5030,2025-07-07,EMP1022,윤수진,부산,부산1팀,인터넷 결합,37264,구매확정
TXN-2026026-1220,2026-01-26,EMP1003,정수진,서울,서울1팀,IPTV 프리미엄,17578,접수
TXN-2025186-7904,2025-07-05,EMP1005,김성호,서울,서울2팀,5G 요금제,87890,접수
TXN-2025053-6214,2025-02-22,EMP1033,서준혁,대전,대전1팀,인터넷 결합,47674,구매확정
TXN-2025230-7964,2025-08-18,EMP1006,조서연,서울,서울2팀,IoT 패키지,36762,검토완료
TXN-2025205-7281,2025-07-24,EMP1036,서상현,광주,광주1팀,인터넷 결합,33518,접수
TXN-2025192-1274,2025-07-11,,,대전,대전1팀,AI 비서 구독,14425,접수
TXN-2025093-4046,2025-04-03,EMP1032,이태영,대전,대전1팀,클라우드 서버,"""1,993,831""",구매확정
TXN-2025090-3548,2025-03-31,EMP1005,김성호,서울,서울2팀,IPTV프리미엄,22087,개통완료
TXN-2026080-4991,2026-03-21,EMP1014,최나연,경기,경기2팀,IoT 패키지,15917,접수
TXN-2026078-5955,2026-03-19,EMP1009,장민수,서울,서울3팀,5g 요금제,73482,환불
TXN-2025116-9266,2025-04-26,EMP1031,이서연,대전,대전1팀,AI 비서 구독,15754,개통완료
TXN-2025212-6080,2025-07-31,EMP1032,이태영,대전,대전1팀,클라우드 서버,627372,구매확정
TXN-2025073-6821,2025-03-14,EMP1033,서준혁,대전,대전1팀,아이피티비 프리미엄,25429,구매확정
TXN-2025276-6974,2025-10-03,EMP1011,장영철,경기,경기1팀,AI Assistant,15531,취소
TXN-2025347-2244,2025-12-13,EMP1011,장영철,경기,경기1팀,IoT 패키지,31646,개통완료
TXN-2025177-3913,2025-06-26,EMP1014,최나연,경기,경기2팀,IoT 패키지,16363,구매확정
TXN-2026002-1672,2026-01-02,EMP1004,신지은,서울,서울2팀,인터넷 결합,35130,반려
TXN-2026054-3835,2026-02-23,EMP1020,이서연,부산,부산1팀,인터넷 결합상품,45123,접수
